Event,Start Date,End Date,Venue,Est Attendees
Digital Signage Experience 2024,12/7/2024,12/10/2024,Las Vegas Convention Center,39000
Connect User Conference 2024,12/8/2024,12/12/2024,Resorts World Las Vegas,52000
Live Design International - LDI Show 2024,12/8/2024,12/10/2024,Las Vegas Convention Center,28000
"IT Infrastructure, Operations and Cloud Strategies Conference 2024",12/10/2024,12/12/2024,The Venetian Resort Las Vegas,66000
Miss International Queen USA 2024,12/10/2024,12/12/2024,Harrah's Las Vegas,86000
National Ground Water Association (NGWA) Expo & Annual Meeting 2024,12/11/2024,12/12/2024,Las Vegas Convention Center,70000
Gin Rummy Association - 2024 Holiday Classic,12/13/2024,12/16/2024,Horseshoe Las Vegas,71000
NDHHS Commission Engagement Conference 2024,12/13/2024,12/14/2024,Santa Fe Station Hotel Casino,85000
Consumer Technology Association (CTA) - CES 2025,1/7/2025,1/10/2025,Las Vegas Convention Center,70000
The PPAI Expo 2025,1/14/2025,1/16/2025,"Mandalay Bay Convention Center, Resort and Casino",33000
ANME Winter Trade Show 2025,1/15/2025,1/17/2025,Westgate Las Vegas Resort & Casino,57000
Fancy Food Show 2025,1/19/2025,1/21/2025,Las Vegas Convention Center,96000
"Shooting, Hunting & Outdoor Trade Show (SHOT Show) - 2025",1/21/2025,1/24/2025,CAESARS FORUM Conference Center,95000
World of Concrete Expo 2025,1/21/2025,1/23/2025,Las Vegas Convention Center,57000
AVN Adult Expo 2025,1/22/2025,1/25/2025,Virgin Hotels Las Vegas,43000
National LGBTQ Task Force Creating Change Conference 2025,1/22/2025,1/26/2025,Rio Hotel & Casino,49000
Las Vegas Market - Winter 2025,1/26/2025,1/30/2025,The Expo at World Market Center Las Vegas,18000
The International Surface Event - TISE 2025,1/27/2025,1/30/2025,"Mandalay Bay Convention Center, Resort and Casino",33000
Advanced Breast Imaging: Current Diagnosis & Work Up of Problematic Breast Cases,1/29/2025,1/30/2025,Wynn Las Vegas,100000
Total Products Expo 2025,1/29/2025,1/31/2025,Las Vegas Convention Center,50000
The ARA Show 2025,1/30/2025,2/1/2025,Las Vegas Convention Center,6000
Himalayan International Expo- 2025,1/31/2025,2/2/2025,Las Vegas Convention Center,30000
Knowledgefest 2025,1/31/2025,2/2/2025,Paris Las Vegas,31000
Nevada DECA - 2025 Conference,2/2/2025,2/6/2025,Alexis Park All Suite Resort,18000
Pink25,2/2/2025,2/5/2025,Bellagio,77000
Dynatrace LLC-Perform Conference 2025,2/3/2025,2/7/2025,ARIA Resort & Casino,44000
AIMExpo 2025,2/5/2025,2/7/2025,Las Vegas Convention Center,52000
Manifest Show 2025,2/7/2025,2/13/2025,The Venetian Resort Las Vegas,86000
Silver State All-Breed Dog Show 2025,2/7/2025,2/9/2025,Buffalo Bill's Resort and Casino,71000
Off-Price Las Vegas - Spring 2025,2/9/2025,2/12/2025,The Venetian Resort Las Vegas,7000
International Franchise Association Annual Conference 2025,2/10/2025,2/13/2025,"Mandalay Bay Convention Center, Resort and Casino",43000
Receivables Management Association Annual Conference 2025,2/10/2025,2/14/2025,ARIA Resort & Casino,51000
CHAMPS Trade Show Winter 2025,2/12/2025,2/15/2025,Las Vegas Convention Center,18000
Funnel Hacking Live 2025,2/12/2025,2/15/2025,CAESARS FORUM Conference Center,69000
THE Las Vegas Dance Nationals (Powered by Stage 8),2/15/2025,2/15/2025,Las Vegas Convention Center,35000
Keller Williams Realty - 2025 Family Reunion,2/17/2025,2/21/2025,"Mandalay Bay Convention Center, Resort and Casino",5000
CueSports International EXPO 2025,2/19/2025,3/1/2025,Rio Hotel & Casino,15000
National Grocers Association - The NGA Show 2025,2/23/2025,2/25/2025,Caesars Palace,48000
Structured Finance Association - SFVegas Conference 2025,2/23/2025,2/26/2025,ARIA Resort & Casino,48000
Kitchen and Bath Industry Show 2025,2/25/2025,2/27/2025,Las Vegas Convention Center,75000
NATSO Connect 2025,2/25/2025,3/1/2025,Caesars Palace,45000
Las Vegas College Baseball Classic 2025,2/28/2025,3/2/2025,Las Vegas Ballpark,27000
Education Credit Union Council Annual Conference 2025,3/4/2025,3/8/2025,Caesars Palace,17000
Dice Tower West 2025,3/5/2025,3/9/2025,Westgate Las Vegas Resort & Casino,74000
American College of Radiation Oncology Annual Meeting 2025,3/12/2025,3/15/2025,Planet Hollywood Resort & Casino,54000
WPPI Wedding & Portrait Photographers Conference Expo 2025,3/16/2025,3/20/2025,Rio Hotel & Casino,47000
Adobe Summit 2025,3/17/2025,3/20/2025,The Venetian Expo,56000
EV Charging Summit 2025,3/17/2025,3/21/2025,Westgate Las Vegas Resort & Casino,75000
Transform,3/17/2025,3/19/2025,Wynn Las Vegas,43000
Amusement Expo 2025,3/19/2025,3/20/2025,Las Vegas Convention Center,30000
International Wireless Communications Expo 2025,3/19/2025,3/20/2025,Las Vegas Convention Center,27000
"The Minerals, Metals, And Materials Society (TMS) - 2025 Annual Meeting & Exhibition",3/23/2025,3/27/2025,MGM Grand Hotel and Casino,45000
Channel Partners Conference & Expo 2025,3/24/2025,3/27/2025,The Venetian Resort Las Vegas,83000
Shoptalk 2025,3/24/2025,3/27/2025,"Mandalay Bay Convention Center, Resort and Casino",89000
Bar & Restaurant Expo (NCB) 2025,3/25/2025,3/26/2025,Las Vegas Convention Center,7000
Travel Goods Trade Show 2025,3/25/2025,3/27/2025,Las Vegas Convention Center,64000
CinemaCon 2025,3/31/2025,4/3/2025,Caesars Palace,19000
International Security Conference (ISC) West 2025,4/1/2025,4/4/2025,The Venetian Expo,93000
Renal Physicians Association-Annual Meeting 2025,4/1/2025,4/6/2025,JW Marriott Resort & Spa,48000
Rheem Pro Partner Conference 2025,4/2/2025,4/3/2025,"Mandalay Bay Convention Center, Resort and Casino",34000
Anxiety and Depression Association of America ADAA Conference,4/3/2025,4/5/2025,Westgate Las Vegas Resort & Casino,23000
CME Science (CMES) Comprehensive Tutorial in Breast Imaging:  Evidence-based and Interactive Approach,4/3/2025,4/4/2025,Wynn Las Vegas,59000
National Association Of Campus Card Users 2025 Annual Conference,4/3/2025,4/9/2025,The Westin Lake Las Vegas Resort & Spa,63000
International Association for Chemical Testing-Annual Conference 2025,4/5/2025,4/11/2025,SAHARA Las Vegas,77000
Google Cloud Next,4/9/2025,4/11/2025,"Mandalay Bay Convention Center, Resort and Casino",77000
Nevada Bridal & Wedding Expo - April 2025,4/13/2025,4/13/2025,Las Vegas Convention Center,43000
Empower 2025,4/14/2025,4/16/2025,"Mandalay Bay Convention Center, Resort and Casino",26000
National Automotive Parts Association National Ownership Workshop NAPA NOW,4/14/2025,4/17/2025,The Venetian Resort Las Vegas,81000
Humane Society Animal Care Expo,4/15/2025,4/18/2025,CAESARS FORUM Conference Center,52000
Customer Connect Expo 2025,4/16/2025,4/17/2025,Las Vegas Convention Center,33000
White Label World Expo 2025,4/16/2025,4/17/2025,Las Vegas Convention Center,80000
Far West Athletic Trainers Association (FWATA) - Annual Meeting and Clinical Symposium 2025,4/17/2025,4/20/2025,South Point Hotel Casino & Spa,51000
Connect Spring Marketplace 2025,4/20/2025,4/26/2025,Wynn Las Vegas,95000
Infusion Nurses Society-Annual Meeting & Exhibition 2025,4/23/2025,4/29/2025,Paris Las Vegas,76000
Agents Brokers United National Insurance Trade Show Convention 2025,4/25/2025,4/27/2025,Planet Hollywood Resort & Casino,86000
American Urological Association - 2025  Annual Conference,4/26/2025,4/29/2025,The Venetian Expo,1000
The Carwash Show 2025,4/26/2025,4/28/2025,Las Vegas Convention Center,91000
Asembia’s AXS25 Summit,4/27/2025,5/1/2025,Wynn Las Vegas,5000
Dynatrace LLC-Sales Kick Off 2025,4/27/2025,4/30/2025,The Cosmopolitan of Las Vegas,42000
Meeting May 2025,4/28/2025,5/1/2025,Waldorf Astoria Las Vegas,91000
The Cooperator Expo Las Vegas 2025,5/1/2025,5/1/2025,Las Vegas Convention Center,37000
Society of Industrial & Office Realtors-Spring Event 2025,5/4/2025,5/9/2025,Caesars Palace,56000
HD Expo + Conference 2025,5/6/2025,5/8/2025,"Mandalay Bay Convention Center, Resort and Casino",15000
LIGHTFAIR International - 2025,5/6/2025,5/8/2025,Las Vegas Convention Center,57000
ServiceNow Knowledge 2025,5/6/2025,5/8/2025,The Venetian Expo,56000
Waste Expo 2025,5/6/2025,5/8/2025,Las Vegas Convention Center,46000
NAMA 2025,5/7/2025,5/9/2025,Las Vegas Convention Center,23000
2025 AAOM Annual Conference,5/14/2025,5/17/2025,JW Marriott Resort & Spa,66000
American Academy of Dental Sleep Medicine-Annual Meeting 2025,5/14/2025,5/18/2025,Westgate Las Vegas Resort & Casino,57000
Annual Financial Leadership Summit 2025,5/16/2025,5/20/2025,JW Marriott Resort & Spa,34000
ICSC Las Vegas 2025,5/19/2025,5/20/2025,Las Vegas Convention Center,69000
Licensing International Expo 2025,5/20/2025,5/22/2025,"Mandalay Bay Convention Center, Resort and Casino",40000
Bitcoin 2025,5/27/2025,5/29/2025,The Venetian Expo,77000
"Gartner, Inc-Application & Solutions Summit 2025",5/29/2025,6/6/2025,Caesars Palace,58000
Professional Asian Pilots Association (PAPA) Aerospace Expo 2025,6/2/2025,6/5/2025,Westgate Las Vegas Resort & Casino,71000
Annual Conference of the United Methodist Church 2025,6/4/2025,6/8/2025,Rio Hotel & Casino,98000
Couture 2025,6/4/2025,6/8/2025,Wynn Las Vegas,45000
Las Vegas Antique Jewelry & Watch Show 2025,6/5/2025,6/8/2025,Wynn Las Vegas,92000
JCK Annual Trade Show 2025,6/6/2025,6/9/2025,The Venetian Resort Las Vegas,42000
Apartmentalize 2025,6/12/2025,6/13/2025,Las Vegas Convention Center,38000
IGBO Annual Tournament 2025,6/19/2025,6/22/2025,Gold Coast Hotel and Casino,15000
International Esthetics Cosmetics & Spa Conference (IECSC) International Beauty Show Las Vegas (IBS) 2025,6/21/2025,6/23/2025,Las Vegas Convention Center,83000
West Coast National Championships 2025,7/8/2025,7/20/2025,Las Vegas Convention Center,30000
NIKE Nationals - Tournament of Champions 2025,7/12/2025,7/15/2025,Las Vegas Convention Center,7000
NSSPPSK 101st Anniversary Conclave,7/14/2025,7/25/2025,Flamingo Las Vegas,39000
Cosmoprof North America 2025,7/15/2025,7/17/2025,"Mandalay Bay Convention Center, Resort and Casino",61000
"United Natural Foods, Inc-Central Showcase 2025",7/19/2025,7/26/2025,"Mandalay Bay Convention Center, Resort and Casino",55000
Association of Woodworking & Furnishing Suppliers Fair 2025,7/22/2025,7/25/2025,Las Vegas Convention Center,42000
Deafnation World Expo 2025,7/22/2025,7/25/2025,Westgate Las Vegas Resort & Casino,71000
CHAMPS Trade Show Summer 2025,7/23/2025,7/26/2025,Las Vegas Convention Center,36000
National School Safety Conference 2025,7/26/2025,8/2/2025,Virgin Hotels Las Vegas,52000
BlackHat / WebTech USA Conference 2025,8/2/2025,8/7/2025,"Mandalay Bay Convention Center, Resort and Casino",64000
Annual Conference & Career Fair 2025,8/4/2025,8/9/2025,Fontainebleau Las Vegas,73000
PHP Agency 2025 National Convention,8/10/2025,8/14/2025,MGM Grand Hotel and Casino,25000
"Army Navy Military Expo, Inc-Summer Tradeshow 2025",8/17/2025,8/19/2025,The LINQ Hotel + Experience,68000
VMware Explore,8/24/2025,8/29/2025,The Venetian Expo,38000
Consumer Attorneys Association of Los Angeles - 43rd Annual Convention,8/28/2025,9/1/2025,Wynn Las Vegas,19000
Jiu Jitsu Con 2025,8/28/2025,8/30/2025,Las Vegas Convention Center,17000
RE+ 2025,9/8/2025,9/11/2025,The Venetian Resort Las Vegas,83000
Groceryshop 2025,9/10/2025,9/17/2025,"Mandalay Bay Convention Center, Resort and Casino",27000
Antique Purse Collector's Society Convention,9/11/2025,9/13/2025,"Treasure Island  - TI Hotel & Casino, a Radisson Hotel",44000
International Baking Industry Expo 2025,9/14/2025,9/17/2025,Las Vegas Convention Center,42000
International Fastener Expo 2025,9/15/2025,9/17/2025,"Mandalay Bay Convention Center, Resort and Casino",13000
GSE Expo 2025,9/16/2025,9/18/2025,Las Vegas Convention Center,41000
HR Technology Conference 2025,9/16/2025,9/19/2025,"Mandalay Bay Convention Center, Resort and Casino",22000
Las Vegas Souvenir & Resort Gift Show - 2025,9/16/2025,9/19/2025,Las Vegas Convention Center,98000
The Grimoire Exhibition,9/20/2025,9/20/2025,Las Vegas Convention Center,52000
TRAVCON 2025,9/21/2025,9/24/2025,Paris Las Vegas,78000
Annual Women's Healthcare Conference 2025,9/28/2025,10/4/2025,Caesars Palace,26000
PACK EXPO Las Vegas and Healthcare Packaging EXPO 2025,9/29/2025,10/1/2025,Las Vegas Convention Center,73000
Applied Net Client Network Conference 2025,10/4/2025,10/9/2025,ARIA Resort & Casino,83000
DBT Labs-Coalesce 2025,10/4/2025,10/11/2025,Resorts World Las Vegas,2000
IMEX America 2025,10/7/2025,10/9/2025,"Mandalay Bay Convention Center, Resort and Casino",69000
CANA Regional Meeting 2025,10/9/2025,10/12/2025,Planet Hollywood Resort & Casino,25000
Wireless Internet Service Providers Association-WISPAPALOOZA 2025,10/13/2025,10/16/2025,Horseshoe Las Vegas,2000
"National Business Aviation Association, Inc. (NBAA) - Convention and Exhibition 2025",10/14/2025,10/16/2025,Las Vegas Convention Center,9000
"CME Science (CMES) Advanced PET Imaging, Nuclear Medicine, and Therapy",10/16/2025,10/17/2025,Encore at Wynn Las Vegas,58000
METALCON International 2025,10/21/2025,10/23/2025,Las Vegas Convention Center,59000
"National Business Aviation Association, Inc. (NBAA) - Convention and Exhibition 2025",10/22/2025,10/24/2025,Las Vegas Convention Center,6000
AREAA National Convention 2025,10/24/2025,10/26/2025,Caesars Palace,91000
Center for Inquiry CSICon 2025,10/24/2025,10/27/2025,Horseshoe Las Vegas,31000
LVMPD Trunk or Treat 2025,10/24/2025,10/24/2025,Las Vegas Convention Center,56000
Art Knife Invitational 2025,10/26/2025,10/26/2025,Palms Casino Resort,81000
National Congress of American Indians (NCAI) Annual Convention & Marketplace 2025,10/27/2025,11/1/2025,MGM Grand Hotel and Casino,55000
Nevada Bridal & Wedding Expo - Oct 2025,10/27/2025,10/27/2025,Las Vegas Convention Center,5000
SupplySide West Trade Show & Conference 2025,10/28/2025,11/1/2025,"Mandalay Bay Convention Center, Resort and Casino",67000
Urban Land Institute Fall Meeting 2025,10/28/2025,10/30/2025,Resorts World Las Vegas,39000
SorceryCon 2025,11/1/2025,11/3/2025,Park MGM Las Vegas,38000
Cash Bash 2025,11/3/2025,11/6/2025,Four Seasons Hotel Las Vegas,54000
American Film Market 2025,11/5/2025,11/10/2025,Palms Casino Resort,77000
Automotive Aftermarket Industry Week (AAIW) 2025,11/5/2025,11/8/2025,CAESARS FORUM Conference Center,18000
Automotive Aftermarket Products Expo (AAPEX) Co-located with Automotive Aftermarket Industry Week - 2025,11/5/2025,11/7/2025,CAESARS FORUM Conference Center,18000
SEMA Show 2025,11/5/2025,11/8/2025,Las Vegas Convention Center,31000
The Learning Guild DevLearn Conference & Expo 2025,11/6/2025,11/8/2025,MGM Grand Hotel and Casino,53000
UKG Aspire 2025,11/11/2025,11/14/2025,"Mandalay Bay Convention Center, Resort and Casino",89000
"Skin, Bones, Hearts & Private Parts Conference 2025",11/12/2025,11/15/2025,Harrah's Las Vegas,53000
Association of United States Postal Lessors Regional Meeting,11/13/2025,11/13/2025,The Cosmopolitan of Las Vegas,95000
Wedding MBA Convention 2025,11/13/2025,11/14/2025,Las Vegas Convention Center,45000
Guide Dogs of America - Las Vegas Charity Weekend 2025,11/14/2025,11/16/2025,Paris Las Vegas,17000
DesignerCon 2025,11/15/2025,11/17/2025,Plaza Hotel & Casino,17000
Jump Tour - Las Vegas 2025,11/15/2025,11/17/2025,Hilton Lake Las Vegas Resort & Spa,78000
ComplexCon - 2025,11/16/2025,11/17/2025,Las Vegas Convention Center,17000
SnowJam Ski & Snowboard Show 2025,11/16/2025,11/17/2025,Las Vegas Convention Center,8000
ISSA Show North America - 2025,11/18/2025,11/21/2025,"Mandalay Bay Convention Center, Resort and Casino",18000
Insights Building Supply Conference,11/18/2025,11/20/2025,MGM Grand Hotel and Casino,81000
OpenText World 2025,11/18/2025,11/21/2025,The Venetian Expo,90000
Diving Equipment & Marketing Association - DEMA Show 2025,11/19/2025,11/22/2025,Las Vegas Convention Center,68000
American Contract Bridge League - North American Bridge Championship,11/28/2025,12/8/2025,Westgate Las Vegas Resort & Casino,37000
Amazon Web Services - re:Invent 2025,12/2/2025,12/6/2025,The Venetian Resort Las Vegas,51000
American Academy of Pediatrics (AAP) Annual Meeting,12/4/2025,12/9/2025,Caesars Palace,41000
Colorado River Water Users Association - 2025 Annual Conference,12/4/2025,12/6/2025,Paris Las Vegas,57000
Cowboy Christmas 2025,12/5/2025,12/14/2025,Las Vegas Convention Center,1000
Rocky Mountain Elk Foundation - 2025,12/5/2025,12/14/2025,Las Vegas Convention Center,60000
Digital Signage Experience 2025,12/7/2025,12/10/2025,Las Vegas Convention Center,39000
Connect User Conference 2025,12/8/2025,12/12/2025,Resorts World Las Vegas,52000
Live Design International - LDI Show 2025,12/8/2025,12/10/2025,Las Vegas Convention Center,28000
"IT Infrastructure, Operations and Cloud Strategies Conference 2025",12/10/2025,12/12/2025,The Venetian Resort Las Vegas,66000
Miss International Queen USA 2025,12/10/2025,12/12/2025,Harrah's Las Vegas,86000
National Ground Water Association (NGWA) Expo & Annual Meeting 2025,12/11/2025,12/12/2025,Las Vegas Convention Center,70000
Gin Rummy Association - 2025 Holiday Classic,12/13/2025,12/16/2025,Horseshoe Las Vegas,71000
NDHHS Commission Engagement Conference 2025,12/13/2025,12/14/2025,Santa Fe Station Hotel Casino,85000
